cnpj_basico;razao_social;natureza_juridica;qualificacao_responsavel;capital_social;porte_empresa;ente_federativo_responsavel
41459558;COMMODITY CONTABILIDADE LTDA;2062;49;2540000.0;03;
41461622;NOSSO PARTICIPACOES E ADMINISTRACAO DE BENS LTDA;2062;49;3220000.0;03;
41467448;LP ADMINISTRADORA LTDA;2062;05;7614678.0;03;
41470035;CONSTRUBELLA CONSTRUCOES LTDA;2062;49;9000000.0;03;
41470517;UP GROUP INTERNATIONAL LTDA;2062;49;5700000.0;03;
41471060;HBT PARTICIPACOES SOCIETARIAS LTDA;2062;05;2050000.0;03;
41473011;AVAL NEGOCIOS E TERCEIRIZACOES LTDA;2062;49;2325000.0;03;
41475812;MALTA CARPI ADMINISTRADORA LTDA;2062;49;2609000.0;03;
41477539;NORDESTE AGRONEGOCIOS LTDA;2062;49;4000000.0;03;
41478611;RADIO TAXI CONFIANCA LTDA;2062;49;4117000.0;03;
41481237;LM CONSTRUCAO E EMPREENDIMENTOS IMOBILIARIOS LTDA;2062;49;26120000.0;03;
41483803;RESIDENCIAL ACACIAS LTDA;2062;49;2622000.0;03;
41485333;CARNE DE SOL SERVICOS ADMINISTRATIVOS LTDA;2062;49;3860000.0;03;
41487536;AWR - ADMINISTRACAO E PARTICIPACOES LTDA;2062;49;41839718.0;03;
41497170;DLUH EMBALAGENS E COMERCIO DE ARTIGOS DE ARMARINHOS E PRESENTES LTDA;2062;49;110000000.0;03;
41498085;IPE BRANCO PARTICIPACOES LTDA;2062;49;2084000.0;03;
41499568;PRECPAGO - SOLUCOES EM CREDITOS JUDICIAIS LTDA.;2062;49;3000000.0;03;
41500731;KIM TO HOLDING LTDA;2062;49;4289063.0;03;
41504605;YCASAS 01 ALPHA DP3 INCORPORACAO E CONSTRUCAO SPE LTDA;2062;49;2623821.0;03;
41506026;PARAFORTE CONSTRUTORA E SERVICO LTDA;2062;49;5000000.0;03;
41506072;ALTOS ENGENHARIA LTDA;2062;49;7500000.0;03;
41506587;JIREH ADMINISTRACAO, COMPRA, VENDA E LOCACAO DE IMOVEIS LTDA;2062;49;3720000.0;03;
41508517;BRT CAPITAL - PARTICIPACOES SOCIETARIAS LTDA;2062;49;2243000.0;03;
41511724;SAO JOSE AGRONEGOCIO LTDA;2062;49;2306724.0;03;
41516569;LATORRACA & SANCHEZ ADMINISTRACAO DE BENS PROPRIOS;2062;49;2152000.0;03;
41518082;TAVARES CUNHA COMERCIO DE BEBIDAS LTDA;2062;49;2450000.0;03;
41518161;BARRA BALI SERGIPE SPE LTDA;2062;05;2040000.0;03;
41518321;F. C. P. LEAL E CIA LTDA;2062;49;3000000.0;03;
41524533;KENNEDY ENERGIA SOLAR LTDA;2062;49;5000000.0;03;
41533315;R C A SERVICOS E COMUNICACAO LTDA;2062;49;4100000.0;03;
41535090;SANTA MARIA SOCIEDADE DE INVESTIMENTOS LTDA;2062;49;4162980.0;03;
41537715;R&R DIESEL TRANSPORTES LTDA;2062;49;3180000.0;03;
41540415;A.J. DA SILVA LTDA;2062;49;5000000.0;03;
41544498;3B PARTICIPACOES E INVESTIMENTOS LTDA;2062;49;2786370.0;03;
41544957;PRECISA COLONIZADORA E INCORPORADORA LTDA;2062;49;7500000.0;03;
41547385;GREEN VALLEY LAMINADOS E COMPENSADOS DO BRASIL LTDA;2062;49;9000000.0;03;
41549164;EDIFICIO AREIA BRANCA SPE LTDA;2062;49;3772558.0;03;
41557801;SOLVO ADMINISTRADORA DE BENS IMOVEIS PROPRIOS LTDA;2062;49;2245000.0;03;
41568608;SPE 24 DE AGOSTO EMPREENDIMENTOS IMOBILIARIOS LTDA;2062;05;6350122.0;03;
41571018;PERESSIN ADMINISTRACAO E PARTICIPACOES LTDA;2062;49;4516212.0;03;
41571215;ROVIMAR CONSULTORIA IMOBILIARIA E ADMINISTRACAO DE BENS LTDA;2240;49;14259000.0;03;
41571471;MLE PATRIMONIAL LTDA;2062;49;5000000.0;03;
41582807;KOISADA AGROPECUARIA LTDA;2062;49;7092681.0;03;
41586711;GRENN COAST ADM. RESORTS E ILHAS PRIVADAS LTDA;2062;49;4000000.0;03;
41586733;L&G ADMINISTRACAO DE BENS PROPRIOS E PARTICIPACOES LTDA;2062;49;6000000.0;03;
41590921;NATAL PRESTIGE PATRIMONIAL LTDA;2062;49;10000000.0;03;
41593046;ABRAN PARTICIPACOES LTDA;2062;49;5000000.0;03;
41594954;TAIN INCORPORADORA LTDA;2062;49;2360000.0;03;
41595380;TECHPROJ CONSULTORIA E PROJETOS LTDA;2062;49;3200000.0;03;
41595924;INTER PRODUCAO MINERAL LTDA;2062;49;10000000.0;03;
41598672;HFZ EMPREENDIMENTOS IMOBILIARIOS LTDA;2062;49;9459492.0;03;
41601216;AAHC GESTAO DE BENS LTDA;2062;05;5000000.0;03;
41605386;PASSOS DE FELIPPO PARTICIPACOES LTDA;2062;49;3250000.0;03;
41606629;AGROPECUARIA PARAGUAY LTDA.;2062;05;35000000.0;03;
41606714;AMA ADMINISTRACAO DE BENS PROPRIOS LTDA;2062;49;4160000.0;03;
41607033;FAZENDA GARCA BRANCA AGRO LTDA;2062;49;3222064.0;03;
41617192;PLAMONTEC - PLANEJAMENTO OBRAS TERRAPLENAGEM LTDA;2062;49;10000000.0;03;
41618044;LAGE STAR CONSTRUTORA LTDA;2062;49;5000000.0;03;
41619295;WD GRADUAL INTERMEDIACOES DIGITAIS LTDA;2062;49;39000000.0;03;
41620237;SITIO TRES COQUEIROS AGROPECUARIA LTDA;2062;49;33003000.0;03;
41621227;GK TECNOLOGIA EM INFORMATICA LTDA;2062;49;110000000.0;03;
41630068;ONE SERVICOS E SAUDE LTDA;2062;05;4600000.0;03;
41634948;MARAJO NAVEGACAO COMERCIO E TRANSPORTE DE PASSAGEIROS LTDA;2062;49;3000000.0;03;
41636268;R80 PARTICIPACOES LTDA.;2062;49;10971172.0;03;
41639235;TRS AGROPECUARIA LTDA;2062;49;3773499.0;03;
41640594;MODERN INVESTIMENTOS E PARTICIPACOES LTDA;2062;49;6000000.0;03;
41640885;K DE PAULA LIMA DE OLIVEIRA LTDA;2062;49;2500000.0;03;
41642359;GARCIA GUILLEN ITC SOLUTIONS LTDA;2062;49;3500000.0;03;
41647068;APARECIDA CAMINHOES E ONIBUS LTDA;2062;49;5000000.0;03;
41651598;NORTE BRASIL DISTRIBUIDORAS EIRELI;2305;65;2600000.0;03;
41662531;HGBENS ADMINISTRADORA DE BENS LTDA;2062;49;4393886.0;03;
41665237;R. J. G. S. LTDA;2062;49;3500000.0;03;
41667757;SPE - X & X PARTICIPACOES E EMPREENDIMENTOS IMOBILIARIOS LTDA;2062;49;2085600.0;03;
41669132;MANAUS EDUCACAO E LOCACAO LTDA;2062;49;2500000.0;03;
41669700;SOLAR SUL ENERGIAS LTDA;2062;49;5000000.0;03;
41670349;Z & S DAOU ADMINISTRACAO DE IMOVEIS LIMITADA;2062;49;2234700.0;03;
41670986;ROCHA BENI TRANSPORTES E NEGOCIOS LTDA;2062;49;2500000.0;03;
41674849;FIBRA COTTON INVESTIMENTOS E PARTICIPACOES LTDA;2062;49;2218800.0;03;
41679163;INSTITUTO DE UROLOGIA DO AMAZONAS LTDA;2062;49;3625000.0;03;
41684598;MICROPIC LTDA;2062;49;3500000.0;03;
41684631;CONSTRUTORA SECOVEL LTDA;2062;49;3000000.0;03;
41685877;MALS ENERGIA SPE LTDA;2062;49;3490000.0;03;
41688443;RIPA ADMINISTRADORA DE IMOVEIS PROPRIOS LTDA;2062;49;2100000.0;03;
41689883;M P COMERCIO E INDUSTRIA LTDA;2062;49;3000000.0;03;
41695682;ALS COMERCIO E SERVICOS EM GERAL LTDA;2062;49;3000000.0;03;
41697285;VALE FORTE LTDA;2062;49;7454816.0;03;
41697488;ARRIVABENE HOLDING GESTAO E ADMINISTRACAO DE BENS PROPRIOS LTDA;2062;49;2800000.0;03;
41702089;ROJA TABOAO DEPILACAO LTDA;2062;49;2300000.0;03;
41708335;SURDI ADMINISTRADORA DE BENS LTDA;2062;49;18500000.0;03;
41709487;WAKANDA HEALTH LTDA;2062;49;5000000.0;03;
41709662;FLORABER HOLDING PARTICIPACOES LTDA;2062;49;6000000.0;03;
41715894;OURO LIQUIDO CONSTRUCOES LTDA;2062;49;3000000.0;03;
41720095;UNIGEL UNIAO GONTIJO EMPREENDIMENTOS LTDA;2062;49;3131722.0;03;
41721422;SCX GESTAO EMPRESARIAL LTDA;2062;49;2300000.0;03;
41722077;ROCHESTER ADMINISTRACAO DE BENS PROPRIOS LTDA;2062;49;2610000.0;03;
41722940;SOUZA ANDRADE EMPREENDIMENTOS IMOBILIARIOS LTDA;2062;49;5000000.0;03;
41723545;BEBIDAS ARTEMIS LTDA;2062;05;5993918.34;03;
41725010;B&B TRANSPORTES NACIONAIS, INTERNACIONAIS & LOGISTICA DE CARGAS ESPECIAIS LTDA;2062;49;29435008.32;03;
41725847;JANINE GONCALVES COELHO LEAO;2135;50;9000000.0;03;
41731125;KYRIUS INVESTIMENTOS AGROPECUARIOS LTDA;2062;49;8835000.0;03;
41732099;D. B. DO NASCIMENTO LTDA;2062;49;5000000.0;03;
41736640;BARAO E VINICIUS RESTAURANTE LTDA;2062;49;2400000.0;03;
41736857;AGROPECUARIA 3R LTDA;2062;49;2382706.0;03;
41737260;MANOEL ALMEIDA DA SILVA LTDA;2062;49;2300000.0;03;
41739416;MASTER PRODUCOES E SERVICOS LTDA;2062;49;3412000.0;03;
41739851;CMA EMPREENDIMENTOS IMOBILIARIOS LTDA;2062;49;3901835.78;03;
41746769;CAHUMO E CIA LTDA;2062;49;3432000.0;03;
